Designation,Name,Location,Level_and_involvement,Total_applicants,Industry_and_Employee_count,LinkedIn_Followers
Sr Associate Software Engineer,Sutherland,"Bengaluru, Karnataka, India",Full-time · Entry level,3 applicants,"10,001+ employees · IT Services and IT Consulting",
Assistant Manager-BFS024322,Genpact,"Bengaluru, Karnataka, India",Full-time · Associate,16 applicants,"10,001+ employees · IT Services and IT Consulting",
Associate EM,EY,"Gurugram, Haryana, India",Full-time · Entry level,,"10,001+ employees · Accounting",
Clinical Data Management Scientist,Accenture in India,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,20 applicants,"10,001+ employees · IT Services and IT Consulting",
Technical Lead,Wipro,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,27 applicants,"10,001+ employees · IT Services and IT Consulting",
Lead I - Enterprise Solutions,UST,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,2 applicants,"10,001+ employees · IT Services and IT Consulting",
Manual Tester,Tata Consultancy Services,India,Full-time · Mid-Senior level,,"10,001+ employees · IT Services and IT Consulting",
Technology Analyst - Mainframe (3-5 years) - COIMBATORE,Infosys,"Chandigarh, India",Full-time · Mid-Senior level,11 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,821 followers"
GCR US - Assistant Manager,EY,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,11 applicants,"10,001+ employees · Accounting",
Lead Administrator,Wipro,"Pune, Maharashtra, India",Full-time · Mid-Senior level,6 applicants,"10,001+ employees · IT Services and IT Consulting",
Data Security/ Data Privacy Experts,Infosys,"Bengaluru, Karnataka, India",Full-time · Entry level,183 applicants,"10,001+ employees · IT Services and IT Consulting",
Senior Application Support,Sutherland,"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,,"10,001+ employees · IT Services and IT Consulting",
Process Developer - Record to Report (Generalist)-BFS024305,Genpact,"Jaipur, Rajasthan, India",Full-time · Entry level,40 applicants,"10,001+ employees · IT Services and IT Consulting",
Python Developer,Tata Consultancy Services,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,31 applicants,"10,001+ employees · IT Services and IT Consulting","11,322,143 followers"
Cyber Security Analyst,Wipro,"Kochi, Kerala, India",Full-time · Entry level,165 applicants,"10,001+ employees · IT Services and IT Consulting",
Cyber Security Analyst,Wipro,"Gautam Buddha Nagar, Uttar Pradesh, India",Full-time · Entry level,84 applicants,"10,001+ employees · IT Services and IT Consulting",
Hiring for OTC- NOIDA,Genpact,"Noida, Uttar Pradesh, India",Full-time · Mid-Senior level,99 applicants,"10,001+ employees · IT Services and IT Consulting","2,258,007 followers"
Technology Analyst,Infosys,"Mohali district, Punjab, India",Full-time · Associate,47 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,830 followers"
CTF Analyst,EY,"Trivandrum, Kerala, India",Full-time · Entry level,53 applicants,"10,001+ employees · Accounting",
Techno Functional Consultant,Wipro,"Gautam Buddha Nagar, Uttar Pradesh, India",Full-time · Mid-Senior level,18 applicants,"10,001+ employees · IT Services and IT Consulting",
Technology Analyst - .Net,Infosys,"Bhubaneswar, Odisha, India",Full-time · Mid-Senior level,44 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,831 followers"
